Plain Text,URLs
Links
Skip to content,#content
Current Crime Data,https://dcsheriff.net/community/search-neighborhood-crimes/
Sign Up for CodeRed,https://dcsheriff.net/codered/
Facebook,https://www.facebook.com/DouglasCountySheriff
Twitter,https://twitter.com/dcsheriff
Instagram,https://www.instagram.com/dougcosheriff/
Linkedin,https://www.linkedin.com/company/douglas-county-sheriff-office
Youtube,https://www.youtube.com/@DCSOTV
.cls-1{fill:#1e9e5e;fill-rule:evenodd;}.cls-2{fill:#fff;},https://nextdoor.com/agency-detail/co/douglas-county/douglas-county-sheriffs-office-1/
,https://dcsheriff.net
ABOUT DCSO,/dev/sheriffs-office/
Sheriff & Command Staff,https://dcsheriff.net/sheriffs-office/sheriff-and-command-staff/
Jobs + Volunteering & Interning,https://www.joindcso.com
Divisions,https://dcsheriff.net/sheriffs-office/divisions/
Vision, Mission, & Values,https://dcsheriff.net/sheriffs-office/vision-mission-and-values/
History,https://dcsheriff.net/sheriffs-office/history/
Fallen Heroes,https://dcsheriff.net/sheriffs-office/fallen-heroes/
Community Programs,https://dcsheriff.net/community/
Patrol Beats,https://dougco.maps.arcgis.com/apps/webappviewer/index.html?id=d1ff2ff057d54212b797b2659d964cf8
Are You A Victim Of A Crime?,https://dcsheriff.net/victims/
dcso@dcsheriff.net,mailto:dcso@dcsheriff.net
dcso@dcsheriff.net,mailto:dcso@dcsheriff.net
HOW DO I…,#
Apply for a Job,https://www.joindcso.com
File an Animal Complaint,https://dcsheriff.net/online-reporting/animal-complaint-form-information/
Fill Out the Youth Academy Application,https://dcsheriff.net/sheriffs-office/volunteering/youth-academy-application/
Schedule a VIN Verification,https://dcsheriff.net/vehicles-and-traffic/vin-inspections/
Report A Traffic Accident,https://dcsheriff.net/online-reporting/report-an-auto-accident/
Get a Concealed Handgun Permit,https://dcsheriff.net/sheriffs-office/divisions/civil-and-warrants/concealed-handgun-permits/
Pay Traffic Tickets,https://dcsheriff.net/vehicles-and-traffic/traffic-tickets/
Get a Copy of a Report,https://dcsheriff.net/records-requests/
Report a Crime,https://dcsheriff.net/online-reporting/
Prevent Identity Theft,https://dcsheriff.net/community/crime-prevention/
Request a House Watch,https://apps.douglas.co.us/apps/housewatchpublic/welcome.do
Register a Gate Code,https://dcsheriff.net/sheriffs-office/divisions/support-services/gate-codes/
Submit a Business Contact Form,https://dcsheriff.net/community/business-contact-form/
Sex Offender Information,https://dcsheriff.net/community/sex-offenders/
View Douglas County's Most Wanted,https://dcsheriff.net/most-wanted/
View Sheriff Civil Sales,https://dcsheriff.net/sheriffs-office/divisions/civil-and-warrants/sheriffs-civil-sales/
Sign Up for Colorado Life Trak,https://dcsheriff.net/community/colorado-life-trak/
Sign Up for the Access & Functional Needs Database,https://www.totalvisibilitysolution.com/douglasco/
View Openings,https://www.joindcso.com
Pay a Compliment or File a Complaint,https://dcsheriff.net/sheriffs-office/compliment-or-complaint/
GET INVOLVED,/dev/community/
Community Outreach & Programs,https://dcsheriff.net/community/
Senior Safe,https://dcsheriff.net/community/senior-safe/
Citizens Academy,https://dcsheriff.net/community/citizens-academy/
Volunteering & Interning,https://www.joindcso.com
Cold Cases,https://dcsheriff.net/sheriffs-office/divisions/investigations/major-crimes/cold-cases/
Request a Tour or Ride Along,https://dcsheriff.net/community/tours-and-ride-alongs/
Search Neighborhood Crimes,https://dcsheriff.net/community/search-neighborhood-crimes/
Community Camera Program,https://dcsheriff.net/community/community-camera-program/
Public Safety Advisory Committee,https://dcsheriff.net/psac-meetings/
Learn about Crime Prevention,https://dcsheriff.net/community/crime-prevention/
Senior Safe Program and Tips,https://dcsheriff.net/community/senior-safe/
Register Today!,https://dcsheriff.net/community/community-camera-program/
NEWS & MEDIA,#
Newsroom,https://dcsheriff.net/dcsonewsroom/
Subscribe to News Alerts,https://us11.list-manage.com/subscribe?u=17c266035bcf49e078bf13095&id=dc48b4aa04
Media Contacts,https://dcsheriff.net/sheriffs-office/public-information-officer/
All Things Records & Media Requests,https://dcsheriff.net/records-requests/
Inmate Records Requests,https://dcsheriff.net/inmates/inmate-records/
pio@dcsheriff.net,mailto:pio@dcsheriff.net
FOR GENERAL SHERIFF'S OFFICE QUESTIONS, PLEASE CALL 303-660-7505. IF YOU HAVE AN EMERGENCY, PLEASE DIAL 9-1-1.,#
INMATES,/dev/inmates/
What to Expect,https://dcsheriff.net/inmates/what-to-expect/
Activities & Programs,https://dcsheriff.net/inmates/inmate-activities-and-programs/
Communicating with an Inmate,https://dcsheriff.net/inmates/communicating-with-an-inmate/
Fees & Charges,https://dcsheriff.net/inmates/fees-and-charges/
Health, Welfare, & Safety of Inmates,https://dcsheriff.net/inmates/health-welfare-safety-of-inmates/
Inmate Bonding,https://dcsheriff.net/inmates/inmate-bonding/
Inmate Records,https://dcsheriff.net/inmates/inmate-records/
Juvenile Arrests,https://dcsheriff.net/inmates/juvenile-arrests/
Money,https://dcsheriff.net/inmates/money/
Professional Visits,https://dcsheriff.net/inmates/professional-visits/
Inmate Property,https://dcsheriff.net/inmates/return-of-inmate-property/
Visitation,https://dcsheriff.net/inmates/inmate-visitation/
Work Release Program,https://dcsheriff.net/inmates/work-release-program/
Reintegration,https://dcsheriff.net/inmates/reintegration/
Inmate Inquiry,https://cad.douglas.co.us/NewWorld.InmateInquiry/DouglasCounty
www.accesscorrections.com,https://www.accesscorrections.com/
www.accesscorrections.com,https://www.accesscorrections.com/
ABOUT DCSO,/dev/sheriffs-office/
Sheriff & Command Staff,https://dcsheriff.net/sheriffs-office/sheriff-and-command-staff/
Jobs + Volunteering & Interning,https://www.joindcso.com
Divisions,https://dcsheriff.net/sheriffs-office/divisions/
Vision, Mission, & Values,https://dcsheriff.net/sheriffs-office/vision-mission-and-values/
History,https://dcsheriff.net/sheriffs-office/history/
Fallen Heroes,https://dcsheriff.net/sheriffs-office/fallen-heroes/
Community Programs,https://dcsheriff.net/community/
Patrol Beats,https://dougco.maps.arcgis.com/apps/webappviewer/index.html?id=d1ff2ff057d54212b797b2659d964cf8
Are You A Victim Of A Crime?,https://dcsheriff.net/victims/
dcso@dcsheriff.net,mailto:dcso@dcsheriff.net
dcso@dcsheriff.net,mailto:dcso@dcsheriff.net
HOW DO I…,#
Apply for a Job,https://www.joindcso.com
File an Animal Complaint,https://dcsheriff.net/online-reporting/animal-complaint-form-information/
Fill Out the Youth Academy Application,https://dcsheriff.net/sheriffs-office/volunteering/youth-academy-application/
Schedule a VIN Verification,https://dcsheriff.net/vehicles-and-traffic/vin-inspections/
Report A Traffic Accident,https://dcsheriff.net/online-reporting/report-an-auto-accident/
Get a Concealed Handgun Permit,https://dcsheriff.net/sheriffs-office/divisions/civil-and-warrants/concealed-handgun-permits/
Pay Traffic Tickets,https://dcsheriff.net/vehicles-and-traffic/traffic-tickets/
Get a Copy of a Report,https://dcsheriff.net/records-requests/
Report a Crime,https://dcsheriff.net/online-reporting/
Prevent Identity Theft,https://dcsheriff.net/community/crime-prevention/
Request a House Watch,https://apps.douglas.co.us/apps/housewatchpublic/welcome.do
Register a Gate Code,https://dcsheriff.net/sheriffs-office/divisions/support-services/gate-codes/
Submit a Business Contact Form,https://dcsheriff.net/community/business-contact-form/
Sex Offender Information,https://dcsheriff.net/community/sex-offenders/
View Douglas County's Most Wanted,https://dcsheriff.net/most-wanted/
View Sheriff Civil Sales,https://dcsheriff.net/sheriffs-office/divisions/civil-and-warrants/sheriffs-civil-sales/
Sign Up for Colorado Life Trak,https://dcsheriff.net/community/colorado-life-trak/
Sign Up for the Access & Functional Needs Database,https://www.totalvisibilitysolution.com/douglasco/
View Openings,https://www.joindcso.com
Pay a Compliment or File a Complaint,https://dcsheriff.net/sheriffs-office/compliment-or-complaint/
GET INVOLVED,/dev/community/
Community Outreach & Programs,https://dcsheriff.net/community/
Senior Safe,https://dcsheriff.net/community/senior-safe/
Citizens Academy,https://dcsheriff.net/community/citizens-academy/
Volunteering & Interning,https://www.joindcso.com
Cold Cases,https://dcsheriff.net/sheriffs-office/divisions/investigations/major-crimes/cold-cases/
Request a Tour or Ride Along,https://dcsheriff.net/community/tours-and-ride-alongs/
Search Neighborhood Crimes,https://dcsheriff.net/community/search-neighborhood-crimes/
Community Camera Program,https://dcsheriff.net/community/community-camera-program/
Public Safety Advisory Committee,https://dcsheriff.net/psac-meetings/
Learn about Crime Prevention,https://dcsheriff.net/community/crime-prevention/
Senior Safe Program and Tips,https://dcsheriff.net/community/senior-safe/
Register Today!,https://dcsheriff.net/community/community-camera-program/
NEWS & MEDIA,#
Newsroom,https://dcsheriff.net/dcsonewsroom/
Subscribe to News Alerts,https://us11.list-manage.com/subscribe?u=17c266035bcf49e078bf13095&id=dc48b4aa04
Media Contacts,https://dcsheriff.net/sheriffs-office/public-information-officer/
All Things Records & Media Requests,https://dcsheriff.net/records-requests/
Inmate Records Requests,https://dcsheriff.net/inmates/inmate-records/
pio@dcsheriff.net,mailto:pio@dcsheriff.net
FOR GENERAL SHERIFF'S OFFICE QUESTIONS, PLEASE CALL 303-660-7505. IF YOU HAVE AN EMERGENCY, PLEASE DIAL 9-1-1.,#
INMATES,/dev/inmates/
What to Expect,https://dcsheriff.net/inmates/what-to-expect/
Activities & Programs,https://dcsheriff.net/inmates/inmate-activities-and-programs/
Communicating with an Inmate,https://dcsheriff.net/inmates/communicating-with-an-inmate/
Fees & Charges,https://dcsheriff.net/inmates/fees-and-charges/
Health, Welfare, & Safety of Inmates,https://dcsheriff.net/inmates/health-welfare-safety-of-inmates/
Inmate Bonding,https://dcsheriff.net/inmates/inmate-bonding/
Inmate Records,https://dcsheriff.net/inmates/inmate-records/
Juvenile Arrests,https://dcsheriff.net/inmates/juvenile-arrests/
Money,https://dcsheriff.net/inmates/money/
Professional Visits,https://dcsheriff.net/inmates/professional-visits/
Inmate Property,https://dcsheriff.net/inmates/return-of-inmate-property/
Visitation,https://dcsheriff.net/inmates/inmate-visitation/
Work Release Program,https://dcsheriff.net/inmates/work-release-program/
Reintegration,https://dcsheriff.net/inmates/reintegration/
Inmate Inquiry,https://cad.douglas.co.us/NewWorld.InmateInquiry/DouglasCounty
www.accesscorrections.com,https://www.accesscorrections.com/
www.accesscorrections.com,https://www.accesscorrections.com/
SUBMIT A REPORT NOW!,https://dcsheriff.net/online-reporting/
What is calea? we need your feedback!,https://dcsheriff.net/sheriffs-office/divisions/professional-standards/accreditation-unit/
Need A Copy Of A Report?,
Request A Copy...,https://dcsheriff.net/records-requests/
Pay A Traffic Ticket.,
View How To Pay,https://dcsheriff.net/vehicles-and-traffic/traffic-tickets/
Sign Up for CodeRed Alerts.,
Register Your Phone Number!,https://dcsheriff.net/codered/
Support the Fallen Officers Fund.,
Check Out How You Can Help!,https://dcsheriff.net/fallen-officer-fund/
Inmate Search.,
Search for An Inmate,https://cad.douglas.co.us/NewWorld.InmateInquiry/DouglasCounty
Recent Media Releases,https://dcsheriff.net/dcsonewsroom/
Douglas County Deputies Catch a Burglar...,https://dcsheriff.net/douglas-county-deputies-catch-a-burglar-in-the-act/
June 7, 2023,https://dcsheriff.net/2023/06/07/
Read More,https://dcsheriff.net/douglas-county-deputies-catch-a-burglar-in-the-act/
Highlands Ranch Man Arrested for Domestic...,https://dcsheriff.net/highlands-ranch-man-arrested-for-domestic-violence/
June 6, 2023,https://dcsheriff.net/2023/06/06/
Read More,https://dcsheriff.net/highlands-ranch-man-arrested-for-domestic-violence/
Deputies Recover Stolen Vehicle, Illegal Gun,...,https://dcsheriff.net/deputies-recover-stolen-vehicle-illegal-gun-and-make-several-arrests/
May 31, 2023,https://dcsheriff.net/2023/05/31/
Read More,https://dcsheriff.net/deputies-recover-stolen-vehicle-illegal-gun-and-make-several-arrests/
Continue to the Newsroom,https://dcsheriff.net/dcsonewsroom/
,https://dcsheriff.net/samantha-jean-kohman/
Most Wanted,https://dcsheriff.net/category/most-wanted/
Samantha Jean Kohman,https://dcsheriff.net/samantha-jean-kohman/
View More Information,https://dcsheriff.net/samantha-jean-kohman/
,https://dcsheriff.net/israel-martinez/
Most Wanted,https://dcsheriff.net/category/most-wanted/
Israel Martinez,https://dcsheriff.net/israel-martinez/
View More Information,https://dcsheriff.net/israel-martinez/
,https://dcsheriff.net/vanessa-krista-valencia/
Most Wanted,https://dcsheriff.net/category/most-wanted/
Vanessa Krista Valencia,https://dcsheriff.net/vanessa-krista-valencia/
View More Information,https://dcsheriff.net/vanessa-krista-valencia/
,https://dcsheriff.net/neeko-gozda/
Most Wanted,https://dcsheriff.net/category/most-wanted/
Neeko Gozda,https://dcsheriff.net/neeko-gozda/
View More Information,https://dcsheriff.net/neeko-gozda/
,https://dcsheriff.net/brandon-lucio/
Most Wanted,https://dcsheriff.net/category/most-wanted/
Brandon Lucio,https://dcsheriff.net/brandon-lucio/
View More Information,https://dcsheriff.net/brandon-lucio/
,https://dcsheriff.net/cullen-hesselgrave/
Most Wanted,https://dcsheriff.net/category/most-wanted/
Cullen Hesselgrave,https://dcsheriff.net/cullen-hesselgrave/
View More Information,https://dcsheriff.net/cullen-hesselgrave/
,https://dcsheriff.net/sheriffs-office/accreditation/
,https://dcsheriff.net
Facebook,https://www.facebook.com/DouglasCountySheriff/
Twitter,https://twitter.com/dcsheriff
Linkedin,https://www.linkedin.com/company/douglas-county-sheriff-office
.cls-1{fill:#1e9e5e;fill-rule:evenodd;}.cls-2{fill:#fff;},https://nextdoor.com/agency-detail/co/douglas-county/douglas-county-sheriffs-office-1/
Instagram,https://www.instagram.com/dougcosheriff
Website issues & feedback can be sent to dcsowebsupport@dcsheriff.net.Designed & Maintained by the Douglas County Sheriff’s Office Technology Services Unit.,mailto:dcsowebsupport@dcsheriff.net
Privacy Policy & Accessibility Statement,https://dcsheriff.net/privacy-policy/
Learn more,https://dcsheriff.net/sheriffs-office/divisions/emergency-management/fire-restrictions/

Body Text,
