Plain Text,URLs
Links
"This work is licensed under CC BY 4.0 - Read how use or adaptation requires attribution",/introduction/how-to-use/
"Capability   Intersection of FinOps & ITSM   Explore the interactions between the disciplines of FinOps best practices alongside Technology Business Management (TBM) capabilities that organizations have already been using to govern IT spend.",https://www.finops.org/framework/capabilities/finops-itsm/
"Capability   Intersection of FinOps & Security   Explore the interactions between the disciplines of FinOps best practices alongside Technology Business Management (TBM) capabilities that organizations have already been using to govern IT spend.",https://www.finops.org/framework/capabilities/finops-security/
"Capability   Intersection of Cloud FinOps & Sustainability   FinOps and Sustainability/GreenOps mutually support each other through a similar approach to conscientious and responsibility technology usage that enables workload efficiency and sustainability. If you are doing one of these - you are amplifying the other.",https://www.finops.org/framework/capabilities/finops-sustainability/
"Domain   Organizational Alignment   Within this domain, the organization acts and automates to manage cloud use within the context of other IT Finance activities, and integrates FinOps capabilities with existing organizational processes, organizational units, and technology.",https://www.finops.org/framework/domains/organizational-alignment/
"Domain   Cloud Usage Optimization   Within this domain, the organization identifies and takes action to match running cloud resources to the actual demand of the workloads running at any given time. This work involves predictive rightsizing of resources, managing workloads to align with the correct number of scaling resources, turning resources off when not in use, and other techniques.",https://www.finops.org/framework/domains/cloud-usage-optimization/
"Domain   Cloud Rate Optimization   Within this domain, the organization works to define its pricing model goals, uses historical data to make pricing model adjustments by buying commitment based discounts, and works to manage the pricing aspects of services it is using in the cloud.",https://www.finops.org/framework/domains/cloud-rate-optimization/
"Domain   Real-Time Decision Making   This Domain improves stakeholder enablement by curating data in stakeholder-specific contexts, iteratively improving decision velocity and aligning organizational processes to the realities of operating in the cloud.",https://www.finops.org/framework/domains/real-time-decision-making/
"Domain   Performance Tracking & Benchmarking   Within this domain, the organization sets and maps its usage and cost to budgets, uses historical information to forecast, and establishes and measures KPIs and other performance indicators, including benchmarking.",https://www.finops.org/framework/domains/performance-tracking-benchmarking/
"Capability   Intersection of FinOps & ITFM/TBM   Explore the interactions between the disciplines of FinOps best practices alongside Technology Business Management (TBM) capabilities that organizations have already been using to govern IT spend.",https://www.finops.org/framework/capabilities/finops-tbm/
"Capability   Intersection of FinOps & ITAM/SAM   FinOps & ITAM examines the integrations required between FinOps and IT Asset Management (ITAM), including software asset management (SAM), and with the related but separate discipline of IT Service Management (ITSM) including configuration management.",https://www.finops.org/framework/capabilities/finops-itam/
"Domain   Understanding Cloud Usage and Cost   Within this Domain, the organization will work to gather all required information about its cloud usage and cost, normalize it, make it available for review, including circulating it to those personas that will use it in other Domains",https://www.finops.org/framework/domains/understanding-cloud-usage-and-cost/
"Capability   Workload Management & Automation   Workload Management & Automation focuses on running resources only when they are needed, and creating the mechanisms to automatically adjust what resources are running at any given time.",https://www.finops.org/framework/capabilities/workload-management-automation/
"Capability   Resource Utilization & Efficiency   Optimizing resource utilization and efficiency is about making sure you are getting sufficient business value for every cloud cost. Practitioners can do this by creating the means of collecting and viewing cost and usage over time, and by building both manual and automated policies to help teams optimize how they use cloud services across the infrastructure.",https://www.finops.org/framework/capabilities/utilization-efficiency/
"Capability   Cloud Policy & Governance   Policy and Governance can be thought of as a set of statements of intent, with associated assurances of adherence.",https://www.finops.org/framework/capabilities/policy-governance/
"Capability   Onboarding Workloads   This capability is about establishing a cloud 'front door' process to onboard brownfield and greenfield applications through financial viability and technical feasibility assessment criteria, all while setting up FinOps best practices from the start.",https://www.finops.org/framework/capabilities/onboarding-workloads/
"Capability   Measuring Unit Costs   Cloud unit economic metrics enable you to determine the revenue you’ll gain from a single unit of your business and the cost associated with servicing it, revealing the business value of your cloud spend.",https://www.finops.org/framework/capabilities/measure-unit-costs/
"Capability   Managing Shared Cost   Learn how to appropriately split cloud costs that are shared and build a complete picture of how your organization uses various cloud costs across its products, departments, and teams.",https://www.finops.org/framework/capabilities/manage-shared-cloud-cost/
"Capability   Managing Commitment Based Discounts   Spend-based commitment discounts and resource-based commitment discounts are the most popular rate optimizations that cloud service providers offer. Learn how to navigate CSP native tooling and FinOps platforms to better plan, manage, and benefit from these types of discount constructs.",https://www.finops.org/framework/capabilities/manage-commitment-based-discounts/
"Capability   Managing Anomalies   Anomaly Management is the ability to detect, identify, clarify, alert, and manage unexpected or unforecasted cloud cost events in a timely manner.",https://www.finops.org/framework/capabilities/manage-anomalies/
"Capability   Forecasting   Understand forecasting cloud costs - how future cloud infrastructure and application lifecycle changes may impact current budgets and influence budget planning and future cloud investment decisions.",https://www.finops.org/framework/capabilities/forecasting/
"1",#
"2",#
"3",#
"4",#
"5",#
"6",#
"7",#
"›",#
"»",#
"",/
"",#
"About",https://www.finops.org/about/
"Mission & Structure",https://www.finops.org/about/
"Governing Board",https://www.finops.org/about/governing-board/
"Technical Advisory Council",https://www.finops.org/about/technical-advisory-council/
"Partner Members",https://www.finops.org/about/partner-members/
"Ambassadors",https://www.finops.org/about/ambassadors/
"Book: Cloud FinOps Second Edition",https://www.finops.org/community/finops-book/
"Foundation Staff",https://www.finops.org/about/staff/
"Media Resources",https://www.finops.org/about/media/
"Join as an Individual",/membership/
"Join as an Enterprise",/membership/enterprise/
"Community",https://www.finops.org/community/
"Getting started",https://www.finops.org/community/getting-started/
"FinOps Events",https://www.finops.org/community/events/
"Working Groups",https://www.finops.org/working-groups/
"Community Slack",https://www.finops.org/community/community-slack/
"FinOps Job Board",https://jobs.finops.org/
"FinOpsPod – The FinOps Podcast",https://www.finops.org/community/finops-podcast/
"Contributing Content",https://www.finops.org/community/contributing-content/
"Code of Conduct Committee",https://www.finops.org/about/code-of-conduct-comittee/
"Access Criteria",https://github.com/finopsfoundation/foundation/blob/main/community-access-criteria.md
"YouTube Channel",https://www.youtube.com/channel/UCyl26lvnoySlGWlF5oNHvYA
"Linkedin",https://www.linkedin.com/company/finops-foundation/
"FinOps X                                                                                                                                                    June 27-30 / San Diego",https://x.finops.org/
"View All Events",/community/events/
"Certifications",https://learn.finops.org
"FinOps Certified Practitioner Self-Paced Training",https://learn.finops.org/path/finops-certified-practitioner-self-paced
"FinOps Certified Practitioner Instructor Led Training",https://learn.finops.org/finops-certified-practitioner-virtual-instructor-led
"FinOps Certified Practitioner Exam Only",https://learn.finops.org/finops-certified-practitioner-certification-exam
"FinOps Certified Professional",https://learn.finops.org/path/finops-certified-professional
"View All",https://learn.finops.org/
"FinOps Certified Enterprise",/partner-certifications/#finops-certified-enterprise
"FinOps Certified Platform",/partner-certifications/#finops-certified-platform
"FinOps Certified Specialty Solution",/partner-certifications/#finops-certified-solution
"FinOps Certified Service Provider",/partner-certifications/finops-certified-service-provider
"View All",/partner-certifications/
"Scholarship Fund                                                                                                                                                    Learn more about the program",https://learn.finops.org/finops-foundation-scholarship-program/1212336/scorm/kmv1bysbj0rk
"Framework",https://www.finops.org/framework/
"Framework Overview",https://www.finops.org/framework/
"What’s New",https://www.finops.org/framework/whats-new/
"FinOps Terminology & Definitions",https://www.finops.org/resource/terminology/
"Principles",https://www.finops.org/framework/principles/
"Personas",https://www.finops.org/framework/personas/
"Phases",https://www.finops.org/framework/phases/
"Maturity",https://www.finops.org/framework/maturity-model/
"Domains",https://www.finops.org/framework/domains/
"Capabilities",https://www.finops.org/framework/capabilities/
"FinOps Assets",https://www.finops.org/resources/
"Content Attribution",https://www.finops.org/introduction/how-to-use/
"Technical Charter",https://github.com/finopsfoundation/tac/blob/master/charter.md
"Partner Member Certification",https://www.finops.org/partner-certifications/
"Framework Overview",/framework/
"FinOps Assets",/resources/
"Projects",https://www.finops.org/working-groups/
"Framework",https://www.finops.org/framework/
"FOCUS – (FinOps Open Cost & Usage Specification)",https://www.finops.org/focus/
"FinOps Assets",https://www.finops.org/resources/
"FinOps Assessment",/projects/finops-assessment/
"State of FinOps",https://data.finops.org/
"Adopting FinOps – Getting Started",/project/adopting-finops
"A Guide to Gamification for FinOps",https://www.finops.org/wg/a-guide-to-gamification-for-finops/
"Encouraging Engineers to Take Action",/projects/encouraging-engineers-to-take-action/
"U.S. Public Sector FinOps Playbook",/project/us-gov-playbook/
"Introduction to Cloud Unit Economics",/projects/introduction-cloud-unit-economics/
"View All",https://www.finops.org/resources/?prod_combined-resources%5BrefinementList%5D%5Bsource%5D%5B0%5D=Working%20Group%20Output
"Working Groups Overview",https://www.finops.org/working-groups/
"Special Interest Groups Overview",https://www.finops.org/special-interest-groups/
"Working Group and Special Interest Group FAQ",https://www.finops.org/working-group-and-special-interest-group-faq/
"Get Certified",https://learn.finops.org/
"Join the Community",/membership/
"Join the biggest FinOps in-person event - FinOps X 2023 in San Diego June 27-30",https://x.finops.org/
"",https://docs.google.com/presentation/d/1gt9ev4OU79-N0tkkdx78rrZM0jJPuxQqlL6pCImL4ww/edit?usp=sharing
"View Google Slides Intro to FinOps Presentation",https://docs.google.com/presentation/d/1gt9ev4OU79-N0tkkdx78rrZM0jJPuxQqlL6pCImL4ww/edit?usp=sharing
"Download Intro to FinOps PPTX version",/wp-content/uploads/2023/05/Intro-to-FinOps-1.1.pptx
"FinOps Maturity on the FinOps Framework",https://www.finops.org/framework/maturity-model/
"FinOps Personas and Roles.",/framework/personas
"FinOps Principles",/framework/principles/
"start FinOps in your organization.",/projects/adopting-finops/
"See our YouTube channel for Playlists by various FinOps topics, FinOps X and Summit recordings, and other informative videos",https://www.youtube.com/@finopsfoundation/playlists
"View the introduction to FinOps presentation",https://docs.google.com/presentation/d/1gt9ev4OU79-N0tkkdx78rrZM0jJPuxQqlL6pCImL4ww/edit?usp=sharing
"O’Reilly Cloud FinOps Book",/community/finops-book
"Introduction to FinOps Course on EdX",https://training.linuxfoundation.org/training/introduction-to-finops-lfs175/
"FinOps Certified Practitioner Course",https://learn.finops.org/?__hstc=76629258.cf2e828d175505095af96a50a288c8a8.1672918508394.1672918508394.1672918508394.1&__hssc=76629258.1.1672918508394&__hsfp=2264536231
"FinOps X                                    Jun 27 - Jun 30, 2023 / San Diego                                                                                                                                                                                                                                                    In-Person",https://x.finops.org/
"Linkedin",https://www.linkedin.com/company/finops-foundation
"GitHub",https://github.com/finopsfoundation
"YouTube",https://www.youtube.com/channel/UCyl26lvnoySlGWlF5oNHvYA
"About",/about/
"Media Resources",/about/media/
"Technical Charter",https://github.com/finopsfoundation/tac/blob/master/charter.md
"Code of Conduct",https://github.com/finopsfoundation/foundation/blob/main/03-code_of_conduct.md
"FinOps Assets",/resources/
"Events",/community/events/
"O’Reilly FinOps Book",/community/finops-book
"FinOps Certified Practitioner",https://learn.finops.org/
"FinOps Certified Professional",https://learn.finops.org/path/finops-certified-professional
"Partner Member Certification",/partner-certifications/
"This work is licensed under Attribution 4.0 International",/introduction/how-to-use/
"https://lfprojects.org",https://lfprojects.org
"Technical Charter",https://github.com/finopsfoundation/tac/blob/master/charter.md

Body Text,
