Plain Text,URLs
Links
PatrykStanczak@GeekHeros.com,mailto:patrykstanczak@geekheros.com
(708) 655-7574,tel:7086557574
,https://www.facebook.com/geekheroschicago
,https://www.linkedin.com/company/geek-heros/
,https://geekheros.com/
Starter Website,https://geekheros.com/starter-site/
Advanced Website,https://geekheros.com/advanced-site/
Custom Website,https://geekheros.com/custom-site/
Hosting & Maint,https://geekheros.com/hosting-maintenance/
Foundational SEO,https://geekheros.com/technical-seo/
Local SEO,https://geekheros.com/local-seo/
FREE Local SEO Audit,https://geekheros.com/local-seo-audit/
On-Page SEO Audit,https://geekheros.com/on-page-seo-audit/
FREE Technical SEO Audit,https://geekheros.com/seo-audit/
Off-Page SEO Audit,https://geekheros.com/off-page-seo-audit/
Courses,https://geekheros.com/courses
Geek Hero Tips,https://geekheros.com/geek-hero-tips/
How To...,https://geekheros.com/how-to/
Product Reviews,https://geekheros.com/product-reviews/
Fractional CMO,https://geekheros.com/sharkpreneur
Who We Are,https://geekheros.com/about-us
SCHEDULE,https://geekheros.com/contact-us/
,#top
Get Started,#section-87-15
schedule call,https://geekheros.com/contact-us/
Read more,https://geekheros.com/about-us/
Learn More,https://geekheros.com/starter-site/
Learn more,https://geekheros.com/hosting-maintenance/
Learn more,https://geekheros.com/local-seo/
Learn more,https://geekheros.com/active-campaign-automations/
schedule call,https://geekheros.com/contact-us/
marketing assessment,https://geekheros.com/marketing-assessment/
free local seo audit,https://geekheros.com/local-seo-audit/
free technical seo audit,https://geekheros.com/seo-audit/
February 21, 2023Turn Heads With Smarter Strategies, Not Louder Messages - Marketing 101Marketing is a term small business owners hear and think differently about. Some might think they saw someone on Shark Tank bootstrap their business without marketing and are proud of it, so they think why do I need it? Others might say how much they need it and take years to begin. A final type […]Read More,https://geekheros.com/2023/02/21/smarter-strategies-not-louder-messages-marketing-101/
October 8, 2022Secret ToolsHey all, thought I'd share some of my best "secret" pieces of software for various things. 1. Event plugin on WP for handle all event scheduling and ticket purchasing.  https://appsumo.8odi.net/LPMJWY Eventin WP Plugin 2. WooCommerce LTD for Variation Swatches  https://appsumo.8odi.net/jW90V6 Variation Swatches 3. Swift Reply, This is where I create, manage, and share canned responses instead of […]Read More,https://geekheros.com/2022/10/08/secret-tools/
August 12, 2021Hero Tip #1 Google My Business Account SetupThe goal is for you to get a quick tip that you can then quickly apply in 15 min to make an impact in your business. What is Google My Business? It’s a free tool for your business to manage your online presence across Google to include search and maps.  Why do you need Google […]Read More,https://geekheros.com/2021/08/12/hero-tip-1-google-my-business-account-setup/
Get started,https://geekheros.com/contact-us/
Contact us,https://geekheros.com/contact-us/
Starter Websites,https://geekheros.com/starter-site/
Advanced Websites,https://geekheros.com/advanced-site/
Custom Websites,https://geekheros.com/custom-site/
E-Commerce Website,https://geekheros.com/e-commerce-site/
Hosting & Maintenance,https://geekheros.com/hosting-maintenance/
Technical SEO,https://geekheros.com/technical-seo/
On-Page SEO,https://geekheros.com/on-page-seo/
Off-Page SEO,https://geekheros.com/off-page-seo/
