Plain Text,URLs
Links
,https://www.jp-apartment.com
Whatsapp,#
Whatsapp,#
WhatsApp,#
WhatsApp,#
Previous,#carousel_image_gallery
Next,#carousel_image_gallery
Whatsapp,#
,https://www.jp-apartment.com/app/uploads/sites/478/2021/10/Access-Card.jpg
,https://www.jp-apartment.com/app/uploads/sites/478/2021/10/CCTV-1.jpg
,https://www.jp-apartment.com/app/uploads/sites/478/2021/10/Food-Court-_-Supermarket.jpg
,https://www.jp-apartment.com/app/uploads/sites/478/2021/10/Gym.jpg
,https://www.jp-apartment.com/app/uploads/sites/478/2021/10/Parking-Space.jpg
,https://www.jp-apartment.com/app/uploads/sites/478/2021/10/Swimming-Pool.jpg
Studio,#tab-content-0
1 Bedroom,#tab-content-1
2 Bedroom,#tab-content-2
,https://www.jp-apartment.com/app/uploads/jp-apartment__sites_478_2021_10_Studio-view-2.webp
,https://www.jp-apartment.com/app/uploads/jp-apartment__sites_478_2021_10_Studio-view.webp
,https://www.jp-apartment.com/app/uploads/jp-apartment__sites_478_2021_10_Studio-view-3.webp
,https://www.jp-apartment.com/app/uploads/jp-apartment__sites_478_2021_10_Studio-denah.webp
Previous,#unit_type_64823765e572b
Next,#unit_type_64823765e572b
,https://www.jp-apartment.com/app/uploads/jp-apartment__sites_478_2021_10_1BR-view.webp
,https://www.jp-apartment.com/app/uploads/jp-apartment__sites_478_2021_10_1BR-denah.webp
Previous,#unit_type_64823765e5840
Next,#unit_type_64823765e5840
,https://www.jp-apartment.com/app/uploads/jp-apartment__sites_478_2021_10_2BR-view.webp
,https://www.jp-apartment.com/app/uploads/jp-apartment__sites_478_2021_10_2BR-A-denah.webp
Previous,#unit_type_64823765e5918
Next,#unit_type_64823765e5918
,https://www.jp-apartment.com/app/uploads/jp-apartment__sites_478_2021_10_2BR-view.webp
,https://www.jp-apartment.com/app/uploads/jp-apartment__sites_478_2021_10_2BR-B-denah.webp
Previous,#unit_type_64823765e5992
Next,#unit_type_64823765e5992
,https://www.jp-apartment.com/app/uploads/jp-apartment__sites_478_2021_10_2BR-view.webp
,https://www.jp-apartment.com/app/uploads/jp-apartment__sites_478_2021_10_2BR-C-denah.webp
Previous,#unit_type_64823765e59ea
Next,#unit_type_64823765e59ea
Whatsapp,#
,https://www.grand-centralbogor.com/
Grand Central Bogor,https://www.grand-centralbogor.com/
Whatsapp,#

Body Text,
"JP Apartment     
     Whatsapp 
   Toggle Navigation 
  Main Menu
     Whatsapp  
    JP ApartmentHarga Mulai dari381 Jutaan
  WhatsApp 
  JP ApartmentHarga Mulai dari381 Jutaan
  WhatsApp   Tentang 
 JP Apartment  
  Your Perfect Home at Bogor. Jasmine Park atau JP Apartment hadir di perbatasan Kota dan Kabupaten Bogor, 
10 menit dari IPB dan 15 menit dari Stasiun Bogor. Lokasi strategis dengan pemandangan dan hawa sejuk Gunung Salak. 
Proyek Apartemen Jasmine Park Bogor merupakan persembahan Greenwoods dan kontraktor Adhi Persada Group (APG), menjamin kualitas dan legalitas hunian di atas lahan seluas 1,1 ha. 
JP Apartment Bogor
 memiliki 3 menara dengan tinggi belasan lantai, menyajikan unit studio berkonsep dormitory. Apartemen yang sangat pas bagi pelajar dan investor sewa apartemen untuk mahasiswa. Harga unit ekonomis dan dekat kampus utama IPB.
Developer Greenwoods Group
Harga Mulai dari 381 juta-an
Marketing Gallery 
Jl. Letjen Ibrahim Adjie 8, Ciherang, Dramaga, Bogor 16610  
PreviousNext 
     Lokasi 
 JP Apartment Alamat Jasmine Park Bogor: Jl. Letjen Ibrahim Adjie No 8, Desa Ciherang, Kecamatan Dramaga, Kabupaten Bogor, Jawa Barat 16610.
Lokasi JP Apartment Bogor 
hanya 550 m dari Terminal Bubulak. Jasmine Park Bogor juga hanya 15 menit dari Stasiun Bogor. Rute tercepat dari stasiun ke apartemen
 yaitu via Jalan Kapten Muslihat atau Jalan Raya Dramaga.
Kampus utama IPB bisa ditempuh dalam hitungan menit, karena jaraknya hanya sekitar 4,9 km dari pintu apartemen. Tidak lebih dari radius 4 km terdapat 3 pusat kesehatan RS Hermina, RS Medika dan RSUD Kota Bogor.
Botani Square Mall (9,9 km)
BTM Mall (7 km)
Pintu Tol Cibadak 1 (7,3 km)
RS Hermina (3,2 km)
RS Medika (1,5 km)
RSUD Kota Bogor (3,9 km)
Universitas Pakuan (9,9 km)      
 9 Menit ke RS    
 13 Menit ke Stasiun    
 10 Menit ke IPB   
     Whatsapp  
    Fasilitas 
 JP Apartment Jasmine Park Bogor
 memiliki fasilitas pendukung gaya hidup baru, terhubung dengan commercial area, lalu dibalut oleh hawa sejuk khas Gunung Salak. Slot parkir basement yang cukup luas tersedia di sini.
Setiap penghuni 
JP Apartemen
 dibekali access card. Keamanan lingkungan ditambah oleh proteksi 24-hour security dan pengawasan CCTV. Hadir pula food court area untuk memenuhi kebutuhan esensial Anda.
Commercial area
Fitness and gym center
Food court
Parkir basement
Supermarket
Swimming pool 
       Access Card 
     CCTV 
     Supermarket 
     Gym 
     Parking Space 
     Swimming Pool   
    Tipe Unit 
 JP Apartment JP Apartemen
 dibangun dengan pendekatan 
socio culture city dekat pusat pendidikan. Tersedia unit studio, 1 bedroom dan 2 bedroom yang ramah mahasiswa. Setiap unit suguhkan view indah pegunungan.
JP Apartment Bogor harga mulai dari Rp 381.923.000. Harga dapat berubah sewaktu-waktu. Hubungi sales agen kami via kontak WhatsApp untuk update price list, simulasi cara bayar dan e-brosur.       Studio     1 Bedroom     2 Bedroom          PreviousNext    Semi gross: 23,26 m
2
Ruang terpadu (bedroom & pantry)Bathroom: 1Balkon: 1   ...show more
 ...show less         PreviousNext    Semi gross: 33,94 m
2
Ruang terpadu (living & pantry)Bedroom: 1Bathroom: 1Balkon: 1   ...show more
 ...show less         PreviousNext    2 Bedroom ASemi gross: 43,64 m
2
Ruang terpadu (living, dining & pantry)
Bedroom: 2
Bathroom: 1
Balkon: 1 
  ...show more
 ...show less  
PreviousNext    2 Bedroom BSemi gross: 46,61 m
2
Ruang terpadu (living, dining & pantry)
Bedroom: 2
Bathroom: 1
Balkon: 1 
  ...show more
 ...show less  
PreviousNext    2 Bedroom CSemi gross: 46,57 m
2
Ruang terpadu (living, dining & pantry)
Bedroom: 2
Bathroom: 1
Balkon: 1 
  ...show more
 ...show less     
     Whatsapp  
    Kelebihan 
 JP Apartment      
 StrategisJasmine Park Bogor berada di perbatasan kota dan kabupaten. Hunian dikelilingi oleh fasilitas umum seperti rumah sakit dan dekat pusat pendidikan ternama IPB.  Akses MudahAkses pulang pergi ke ibu kota atau wilayah Jabodetabek lainnya bukan perkara susah. Lokasi Jasmine Park Bogor dekat terminal, stasiun dan tol.  EkonomisUnit apartemen termungil dibanderol harga ramah kantong. Dapatkan ROI tinggi dengan membeli apartemen premium di bawah 400 jutaan.  DeveloperDeveloper selalu mengedepankan harmoni antara kebutuhan konsumen dan lingkungan. Greenwoods berpengalaman dan sukses mengembangkan sejumlah portofolio.      
     Rekomendasi
 Project Lainnya         
   Grand Central Bogor  Jl. Mayor Oking, RT.04/RW.06, Cibogor, Bogor Tengah, Kota Bogor Rp 472juta-an Merupakan satu-satunya apartemen yang berada di pusat Kota Bogor. Akses mudah menuju jalan utama, Stasiun Bogor, dan gerbang tol. Selain itu, beragam fasilitas penting lainnya berada dekat di sekeliling kompleksnya.   
         Informasi ini diterbitkan hanya untuk memberi gambaran secara umum. Kami berupaya menyediakan data seakurat dan
      selengkap mungkin dengan melakukan riset dari berbagai sumber. Bagi developer yang ingin menyediakan informasi terbaru
      seputar properti ini, dapat menghubungi kontak yang tercantum.
    
     Untuk informasi lebih lanjut silakan hubungi sales konsultan kami. Dengan klik tombol whatsapp di bawah ini.   Whatsapp     JP Apartment 2021        ×     
       Dapatkan Penawaran Terbaik dari Kami Sekarang Juga Silakan isi nomor Whatsapp Anda untuk memulai percakapan dengan sales konsultan kami. Nama  Nomor Whatsapp                    Whatsapp       Thank you for your submission. You will be redirected to our WhatsApp shortly. Click here if you are not
      automatically redirected.
           Mohon maaf ada kesalahan. Silakan refresh halaman kemudian coba lagi.
        
   Aturan Privasi: Kerahasiaan data Anda terjamin keamanannya.
             ×         × 
   Verifikasi Nomor Handphone
 Silahkan  masukan 6 digit kode OTP yang telah kami kirimkan ke nomor 
 Ganti Nomor    Kirim Ulang OTP  
  Tidak mendapatkan kode OTP? 
     Kirim ulang              
"
